region_code,region_name,settlement_code,settlement_name,num_kalpiot,registered,voted,invalid,valid,netanyahu,peres,admin_identity,candidate_identity,registered_plausible,review_note
01,ירושלים,0127,רמת רחל,1,227,171,2,169,13,156,True,True,True,
01,ירושלים,3000,ירושלים,512,287279,218048,9476,208572,145877,62695,True,True,True,candidate identity repairs damaged Peres total
02,יהודה,0010,תירוש,1,260,203,9,194,181,13,True,True,True,
02,יהודה,0027,שדות מיכה,1,199,154,10,144,94,50,True,True,True,
02,יהודה,0039,גפן,1,199,160,9,151,147,4,True,True,True,name_variants:גפו
02,יהודה,0052,לוזית,1,201,151,11,140,98,42,True,True,True,
02,יהודה,0078,קריית ענבים,1,280,216,7,209,14,195,True,True,True,
02,יהודה,0208,מוצא עילית,1,640,485,19,466,95,371,True,True,True,
02,יהודה,0286,מעלה החמישה,1,417,268,9,259,41,218,True,True,True,name_variants:מעלה החמיש
02,יהודה,0364,כפר אוריה,1,219,167,11,156,85,71,True,True,True,
02,יהודה,0405,נווה אילן,1,297,189,4,185,49,136,True,True,True,name_variants:נווה אילו
02,יהודה,0456,שורש,1,177,132,5,127,30,97,True,True,True,
02,יהודה,0460,רמת רזיאל,1,294,188,4,184,86,98,True,True,True,name_variants:רמת רז יאל
02,יהודה,0462,טל שחר,1,328,261,8,253,64,189,True,True,True,
02,יהודה,0464,הראל,1,118,52,2,50,3,47,True,True,True,
02,יהודה,0465,צובה,1,408,314,5,309,22,287,True,True,True,
02,יהודה,0472,אבו גוש,4,2243,1543,172,1371,68,1303,True,True,True,
02,יהודה,0514,עין ראפה,1,249,188,19,169,7,162,True,True,True,
02,יהודה,0521,עין נקובא,1,507,420,47,373,59,314,True,True,True,name_variants:עיו נקובא
02,יהודה,0567,צרעה,1,758,557,12,545,15,530,True,True,True,
02,יהודה,0672,בית נקופה,1,253,195,3,192,92,100,True,True,True,name_variants:בית בקופה
02,יהודה,0693,"נתיב הל""ה",1,286,254,4,250,9,241,True,True,True,
02,יהודה,0710,בית זית,1,668,535,13,522,140,382,True,True,True,
02,יהודה,0740,אשתאול,1,313,264,8,256,224,32,True,True,True,
02,יהודה,0741,שואבה,1,276,228,3,225,91,134,True,True,True,
02,יהודה,0742,מסילת ציון,1,250,218,14,204,99,105,True,True,True,name_variants:מסילת ציוו
02,יהודה,0751,בית מאיר,1,283,247,7,240,218,22,True,True,True,
02,יהודה,0752,תעוז,1,312,262,10,252,208,44,True,True,True,
02,יהודה,0771,מבוא ביתר,1,207,145,4,141,104,37,True,True,True,
02,יהודה,0776,מחסיה,1,183,156,5,151,135,16,True,True,True,
02,יהודה,0777,נחשון,1,356,282,7,275,1,274,True,True,True,
02,יהודה,0778,תרום,1,288,259,7,252,246,6,True,True,True,
02,יהודה,0779,עמינדב,1,329,270,7,263,142,121,True,True,True,name_variants:עמי נדב
02,יהודה,0780,אורה,1,334,263,10,253,168,85,True,True,True,
02,יהודה,0783,אבן ספיר,1,397,315,14,301,166,135,True,True,True,name_variants:אבו ספיר
02,יהודה,0787,גבעת יערים,1,409,361,6,355,255,100,True,True,True,
02,יהודה,0794,עגור,1,221,177,7,170,141,29,True,True,True,name_variants:\­\\u
02,יהודה,0796,צלפון,1,420,343,19,324,273,51,True,True,True,name_variants:צלפוו
02,יהודה,0799,זכריה,1,358,311,11,300,227,73,True,True,True,
02,יהודה,0805,ישעי,1,375,327,7,320,300,20,True,True,True,
02,יהודה,0809,נחם,1,270,230,10,220,192,28,True,True,True,
