region_code,region_name,settlement_code,settlement_name,polling_stations,registered,voted,invalid,valid,barak,sharon,arithmetic_valid,source_type,review_note
01,ירושלים,0127,רמת רחל,1,249,176,9,167,148,19,True,single_ballot,single_unique_station_id; repair:valid_from_candidates
01,ירושלים,3000,ירושלים,425,309413,202731,4669,198062,43813,154249,True,printed_locality_total,manual_printed_row_review
02,יהודה,0010,תירוש,1,268,200,5,195,8,187,True,single_ballot,single_unique_station_id
02,יהודה,0027,שדות מיכה,1,211,144,2,142,6,136,True,single_ballot,single_unique_station_id
02,יהודה,0039,גפן,1,215,163,1,162,3,159,True,single_ballot,single_unique_station_id; repair:barak_from_valid_minus_sharon
02,יהודה,0052,לוזית,1,224,146,4,142,23,119,True,single_ballot,single_unique_station_id; repair:voted_from_invalid_plus_valid
02,יהודה,0059,נחושה,1,108,101,1,100,0,100,True,single_ballot,single_unique_station_id; repair:barak_from_valid_minus_sharon
02,יהודה,0078,קריית ענבים,1,273,205,4,201,175,26,True,single_ballot,single_unique_station_id; repair:identity_repair:voted:201->205
02,יהודה,0208,מוצא עילית,1,664,424,9,415,314,101,True,single_ballot,single_unique_station_id; repair:voted_from_invalid_plus_valid
02,יהודה,0286,מעלה החמישה,1,372,214,3,211,194,17,True,single_ballot,single_unique_station_id
02,יהודה,0364,כפר אוריה,1,261,193,3,190,84,106,True,single_ballot,single_unique_station_id
02,יהודה,0405,נווה אילן,1,335,189,11,178,123,55,True,single_ballot,single_unique_station_id; repair:identity_repair:voted:181->189
02,יהודה,0456,שורש,1,230,165,3,162,107,55,True,single_ballot,single_unique_station_id
02,יהודה,0460,רמת רזיאל,1,263,192,5,187,90,97,True,single_ballot,single_unique_station_id
02,יהודה,0462,טל שחר,1,438,316,12,304,202,102,True,single_ballot,single_unique_station_id
02,יהודה,0464,הראל,1,129,52,0,52,49,3,True,single_ballot,single_unique_station_id; repair:invalid_from_voted_minus_valid; repair:sharon_from_valid_minus_barak
02,יהודה,0465,צובה,1,478,331,12,319,290,29,True,single_ballot,single_unique_station_id
02,יהודה,0472,אבו גוש,4,2676,461,118,343,246,97,True,printed_locality_total,manual_printed_row_review
02,יהודה,0514,עין ראפה,1,325,135,32,103,83,20,True,single_ballot,single_unique_station_id
02,יהודה,0521,עין נקובא,1,662,361,119,242,207,35,True,single_ballot,single_unique_station_id
02,יהודה,0567,צרעה,1,744,497,2,495,471,24,True,single_ballot,single_unique_station_id
02,יהודה,0672,בית נקופה,1,273,175,5,170,66,104,True,single_ballot,single_unique_station_id
02,יהודה,0693,"נתיב הל""ה",1,508,237,4,233,223,10,True,single_ballot,single_unique_station_id
02,יהודה,0710,בית זית,1,786,574,14,560,370,190,True,single_ballot,single_unique_station_id
02,יהודה,0740,אשתאול,1,365,297,3,294,25,269,True,single_ballot,single_unique_station_id; repair:valid_from_candidates
02,יהודה,0741,שואבה,1,274,193,6,187,99,88,True,single_ballot,single_unique_station_id
02,יהודה,0742,מסילת ציון,1,328,238,4,234,96,138,True,single_ballot,single_unique_station_id; repair:valid_from_candidates
02,יהודה,0751,בית מאיר,1,292,226,8,218,10,208,True,single_ballot,single_unique_station_id
02,יהודה,0752,תעוז,1,334,228,3,225,23,202,True,single_ballot,single_unique_station_id
02,יהודה,0771,מבוא ביתר,1,216,138,8,130,33,97,True,single_ballot,single_unique_station_id
02,יהודה,0776,מחסיה,1,207,162,3,159,8,151,True,single_ballot,single_unique_station_id
02,יהודה,0777,נחשון,1,325,241,3,238,231,7,True,single_ballot,single_unique_station_id; repair:sharon_from_valid_minus_barak
02,יהודה,0778,תרום,1,320,270,5,265,5,260,True,single_ballot,single_unique_station_id; repair:barak_from_valid_minus_sharon
02,יהודה,0779,עמינדב,1,391,281,3,278,114,164,True,single_ballot,single_unique_station_id
02,יהודה,0780,אורה,1,423,302,11,291,71,220,True,single_ballot,single_unique_station_id
02,יהודה,0783,אבן ספיר,1,381,282,8,274,65,209,True,single_ballot,single_unique_station_id
02,יהודה,0787,גבעת יערים,1,516,381,7,374,87,287,True,single_ballot,single_unique_station_id
02,יהודה,0794,עגור,1,224,165,3,162,10,152,True,single_ballot,single_unique_station_id
02,יהודה,0796,צלפון,1,403,302,2,300,24,276,True,single_ballot,single_unique_station_id
02,יהודה,0799,זכריה,1,394,305,6,299,39,260,True,single_ballot,single_unique_station_id
02,יהודה,0805,ישעי,1,406,322,3,319,13,306,True,single_ballot,single_unique_station_id
02,יהודה,0809,נחם,1,300,237,6,231,14,217,True,single_ballot,single_unique_station_id
02,יהודה,0816,זנוח,1,283,198,2,196,6,190,True,single_ballot,single_unique_station_id; reviewed:600dpi; reviewed:alternate_scan_copy
02,יהודה,0822,מטע,1,269,190,13,177,70,107,True,single_ballot,single_unique_station_id
02,יהודה,0823,בר גיורא,1,226,168,1,167,34,133,True,single_ballot,single_unique_station_id
02,יהודה,0825,נס הרים,1,353,234,7,227,45,182,True,single_ballot,single_unique_station_id
02,יהודה,0859,כסלון,1,182,131,1,130,12,118,True,single_ballot,single_unique_station_id
02,יהודה,0864,בקוע,1,359,272,1,271,50,221,True,single_ballot,single_unique_station_id
02,יהודה,0919,גבעת ישעיהו,1,195,134,1,133,61,72,True,single_ballot,single_unique_station_id; repair:identity_repair:voted:13->134
02,יהודה,1015,מבשרת ציון,19,13823,9840,178,9662,3972,5690,True,printed_locality_total,deduplicated_same_station_rows:2; warning:station_rows_with_arithmetic_ambiguity:2; regional_station_reconciliation_delta:+5; multi_station_count_from_observed_unique_ballot_ids
02,יהודה,1043,גיזו,1,73,49,0,49,18,31,True,single_ballot,single_unique_station_id; repair:invalid_from_voted_minus_valid
02,יהודה,1070,אביעזר,1,314,229,6,223,47,176,True,single_ballot,single_unique_station_id
02,יהודה,1071,נווה מיכאל,1,235,166,0,166,10,156,True,single_ballot,single_unique_station_id; repair:invalid_from_voted_minus_valid
02,יהודה,1079,צפרירים,1,189,129,4,125,43,82,True,single_ballot,single_unique_station_id
02,יהודה,1113,צור הדסה,3,1343,1066,24,1042,601,441,True,printed_locality_total,regional_station_reconciliation_delta:+5; multi_station_count_from_observed_unique_ballot_ids
02,יהודה,1114,שריגים )לי-און(,1,376,297,5,292,178,114,True,single_ballot,single_unique_station_id
02,יהודה,1123,אדרת,1,319,245,4,241,7,234,True,single_ballot,single_unique_station_id; repair:barak_from_valid_minus_sharon
02,יהודה,1137,קרית יערים,3,1165,853,14,839,9,830,True,printed_locality_total,barak_from_valid_minus_sharon
02,יהודה,1254,נטף,1,199,147,5,142,128,14,True,single_ballot,single_unique_station_id
02,יהודה,1259,נווה שלום,1,64,40,9,31,30,1,True,single_ballot,single_unique_station_id
