semel,ballot,valid,stat22
967,3.1,169,
967,3.2,95,
967,3.3,168,
967,3.4,108,
472,1.1,353,4720001
472,1.2,329,4720001
472,1.3,321,4720001
472,3,348,4720001
472,5,254,4720001
472,6.1,280,4720001
472,6.2,298,4720001
472,6.3,314,4720001
472,8,272,4720001
473,1.1,260,4730001
473,1.2,197,4730001
473,5.1,284,4730001
473,5.2,259,4730001
473,5.3,274,4730001
473,8.1,322,4730001
473,8.2,281,4730001
473,8.3,306,4730001
473,9.1,271,4730002
473,9.2,271,4730002
473,9.3,258,4730002
473,11.1,274,4730003
473,11.2,263,4730003
473,11.3,224,4730003
473,13.1,356,4730001
473,13.2,313,4730001
473,13.3,310,4730001
473,13.4,340,4730001
473,13.5,319,4730001
958,1,41,
968,5.1,201,
968,5.2,202,
968,5.3,274,
968,5.4,319,
968,5.5,213,
1342,1.1,183,13420001
1342,1.2,163,13420001
966,5.1,196,
966,5.2,207,
966,5.3,203,
966,5.4,185,
966,5.5,180,
966,6.1,182,
966,6.2,172,
966,6.3,148,
961,1.1,222,
961,1.2,199,
961,1.3,270,
961,1.4,400,
961,1.5,302,
961,1.6,236,
961,1.7,236,
961,1.8,228,
1375,1,315,13750001
1375,2,332,13750001
652,1,250,6520001
652,2,234,6520001
652,3.1,190,6520001
652,3.2,193,6520001
1275,1,244,12750001
679,1,402,6790001
1115,1,270,11150001
819,1,483,8190001
175,1,275,1750001
175,2,419,1750001
2052,1,327,20520001
1070,1,496,10700001
1220,1,150,12200001
182,1.1,422,1820003
182,1.2,438,1820003
182,1.3,422,1820003
182,2,416,1820004
182,3,553,1820004
182,5,440,1820004
182,6,531,1820009
182,9.1,464,1820004
182,9.2,449,1820004
182,9.3,449,1820004
182,9.4,449,1820004
182,9.5,457,1820004
182,9.6,465,1820004
182,10,458,1820004
182,11,377,1820007
182,12,503,1820004
182,17,400,1820005
1081,1,194,10810001
783,1,368,7830001
400,1,428,4000001
400,2,476,4000001
4011,1,324,40110001
3793,4.1,525,37930001
3793,4.2,519,37930001
1311,1,196,13110001
3759,1,207,37590001
113,1,176,1130001
1068,1,205,10680001
1123,1,443,11230001
446,1,292,4460001
446,2,322,4460001
4010,1,98,40100001
1046,1,200,10460001
2710,7.1,132,27100014
2710,7.2,119,27100014
2710,10,394,27100032
2710,11,272,27100035
2710,12,174,27100021
2710,14,219,27100041
2710,16.1,261,27100034
2710,16.2,272,27100034
2710,16.3,245,27100034
2710,16.4,261,27100034
2710,16.5,232,27100014
2710,18.1,183,27100034
2710,18.2,147,27100034
2710,18.3,171,27100021
2710,20,243,27100033
2710,22.1,266,27100033
2710,22.2,275,27100033
2710,23.1,275,27100015
2710,23.2,283,27100015
2710,23.3,255,27100015
2710,26.1,183,27100031
2710,26.2,185,27100031
2710,26.3,160,27100031
2710,27,185,27100021
2710,31,274,27100014
2710,32.1,235,27100031
2710,32.2,229,27100031
2710,32.3,283,27100031
2710,33,295,27100032
2710,34.1,222,27100041
2710,34.2,256,27100041
2710,37,186,27100021
2710,39,196,27100041
2710,42,272,27100033
2710,43.1,198,27100011
2710,43.2,208,27100011
2710,43.3,202,27100011
2710,43.4,257,27100011
2710,44.1,266,27100014
2710,44.2,293,27100014
2710,44.3,313,27100014
2710,44.4,293,27100014
2710,45.1,217,27100012
2710,45.2,198,27100012
2710,45.3,246,27100012
2710,45.4,216,27100012
2710,47,189,27100041
2710,49,261,27100033
2710,50,221,27100033
2710,51.1,221,27100012
2710,51.2,243,27100012
2710,51.3,209,27100012
2710,51.4,226,27100012
2710,51.5,225,27100012
2710,51.6,200,27100012
2710,52,218,27100021
2710,55,240,27100032
2710,56.1,203,27100014
2710,56.2,195,27100014
2710,56.3,218,27100014
2710,56.4,251,27100014
2710,57,187,27100021
2710,59,197,27100033
2024,1.1,230,20240001
2024,1.2,216,20240001
1358,1.1,331,13580001
1358,1.2,335,13580001
1358,1.3,327,13580001
1358,1.4,296,13580001
1108,1,339,11080001
680,1,397,6800001
31,1.1,230,310002
31,2,349,310003
31,3,283,310002
31,4,328,310002
31,5,226,310002
31,6.1,320,310002
31,6.2,298,310002
31,6.3,302,310002
31,7,288,310003
31,8,335,310008
31,9,319,310002
31,10.1,415,310006
31,10.2,442,310006
31,10.3,412,310006
31,11,530,310006
31,12,554,310006
31,13,349,310004
31,15.1,500,310006
31,15.2,496,310006
31,17.1,513,310008
31,17.2,483,310008
31,17.3,507,310008
31,17.4,504,310008
31,17.5,516,310008
31,19,335,310008
31,20,573,310007
31,22.1,485,310003
31,22.2,470,310003
31,22.3,476,310003
31,22.4,475,310003
31,22.5,457,310008
