semel,ballot,lat,lng,coord_src,stat95,valid
7,10,,,single,7001,238
10,10,,,single,10001,176
11,10,,,single,11001,173
13,10,,,single,13001,298
15,10,,,single,15001,188
16,10,,,single,16001,169
18,10,,,single,18001,199
22,10,,,single,,128
23,10,,,single,23001,76
24,10,,,single,24001,303
26,10,32.9686208,35.5499206,addr_raw,26001,395
26,20,32.9686208,35.5499206,addr_raw,26001,419
26,30,32.9686208,35.5499206,addr_raw,26001,413
27,10,,,single,27001,139
28,10,,,single,28001,383
28,20,,,single,28001,363
28,30,,,single,28001,328
28,40,,,single,28001,561
28,50,,,single,28001,360
28,60,,,single,28001,409
28,70,,,single,28001,520
28,80,,,single,28001,303
28,90,,,single,28001,441
28,100,,,single,28001,211
29,10,,,single,29001,252
29,20,,,single,29001,390
31,10,31.3204066,34.6187014,addr_raw,31002,194
31,20,31.3124187,34.6170442,addr_raw,31002,273
31,30,31.3155193,34.6181034,addr_raw,31002,296
31,40,31.3124187,34.6170442,addr_raw,31002,294
31,50,31.3186659,34.6170074,addr_raw,31002,217
31,60,31.3121587,34.6193726,addr_raw,31003,316
31,70,31.3121587,34.6193726,addr_raw,31003,334
31,80,31.3121587,34.6193726,addr_raw,31003,412
31,90,31.3124187,34.6170442,addr_raw,31002,334
31,100,31.3052292,34.6168014,addr_hood,31006,487
31,110,31.3052292,34.6168014,addr_hood,31006,542
31,120,31.3052292,34.6168014,addr_hood,31006,368
31,130,31.3082939,34.6263004,addr_raw,31004,471
31,140,31.3052292,34.6168014,addr_hood,31006,536
31,150,31.3052292,34.6168014,addr_hood,31006,380
31,160,31.3155193,34.6181034,addr_raw,31002,385
31,170,31.3186659,34.6170074,addr_raw,31002,412
31,180,31.3186659,34.6170074,addr_raw,31002,292
31,190,31.3124187,34.6170442,addr_raw,31002,361
31,200,31.3010918,34.6248423,addr_raw,31006,377
31,210,31.3060159,34.6212855,addr_raw,31006,296
31,220,31.3060159,34.6212855,addr_raw,31006,485
31,230,31.3010918,34.6248423,addr_raw,31006,284
31,250,31.3186659,34.6170074,addr_raw,31002,329
31,260,31.3121587,34.6193726,addr_raw,31003,180
31,280,31.3052292,34.6168014,addr_hood,31006,506
32,10,,,single,32001,252
33,10,,,single,33001,196
35,10,,,single,35001,217
36,10,,,single,36001,181
37,10,,,single,37001,177
39,10,,,single,39001,141
41,10,,,single,41001,384
41,20,,,single,41001,478
41,30,,,single,41001,418
43,10,,,single,43001,317
43,20,,,single,43001,376
44,10,,,single,44001,170
46,10,,,single,46001,411
46,20,,,single,46001,389
46,30,,,single,46001,447
47,10,,,single,47001,429
47,20,,,single,47001,446
47,30,,,single,47001,417
48,10,,,single,48001,274
48,20,,,single,48001,279
49,10,,,single,49001,231
52,10,,,single,52001,149
53,10,,,single,53001,376
53,20,,,single,53001,274
53,30,,,single,53001,460
53,40,,,single,53001,511
53,50,,,single,53001,408
55,10,,,single,55001,175
57,10,,,single,57001,387
58,10,,,single,58001,77
59,10,,,single,59001,116
62,10,,,single,62001,331
63,10,,,single,63001,263
64,10,,,single,64001,426
65,10,,,single,65001,276
65,20,,,single,65001,299
66,10,,,single,66001,329
67,10,,,single,67001,250
69,10,,,single,69001,236
70,10,31.8125649,34.6459036,addr_raw,70111,273
70,20,31.8034685,34.6408315,addr_raw,70244,306
70,30,31.8087015,34.6445769,addr_raw,70111,321
70,40,31.8040271,34.6458353,addr_raw,70113,226
70,50,31.8125649,34.6459036,addr_raw,70111,305
70,60,31.8087015,34.6445769,addr_raw,70111,357
70,70,31.8125649,34.6459036,addr_raw,70111,277
70,80,31.809388,34.6488298,addr_raw,70112,143
70,90,31.8054498,34.6586675,addr_raw,70123,330
70,100,31.8086981,34.6540381,addr_raw,70123,254
70,110,31.8067364,34.6556645,addr_raw,70123,305
70,120,31.8023552,34.6541197,addr_raw,70122,216
70,130,31.7977314,34.6529922,addr_city,70231,309
70,140,31.8059253,34.6503122,addr_raw,70121,317
70,150,31.8042864,34.6504874,addr_raw,70121,363
70,160,31.7959019,34.6561088,addr_raw,70223,245
70,170,31.809388,34.6488298,addr_raw,70112,288
70,180,31.8019409,34.6640555,addr_raw,70134,310
70,190,31.8040271,34.6458353,addr_raw,70113,274
70,200,31.809388,34.6488298,addr_raw,70112,315
70,210,31.7974812,34.6512344,addr_raw,70231,267
70,220,31.8067364,34.6556645,addr_raw,70123,328
70,230,31.8097617,34.6472145,addr_raw,70111,274
70,240,31.7930432,34.6590841,addr_raw,70222,246
70,250,31.7962168,34.6542432,addr_raw,70223,274
70,260,31.7940108,34.6567111,addr_raw,70223,375
70,270,31.8087015,34.6445769,addr_raw,70111,352
70,280,31.8097617,34.6472145,addr_raw,70111,201
70,290,31.7977314,34.6529922,addr_city,70231,330
70,300,31.8029048,34.6603894,addr_expanded,70135,605
70,310,31.8029048,34.6603894,addr_expanded,70135,277
70,320,31.8019409,34.6640555,addr_raw,70134,441
70,330,31.8029048,34.6603894,addr_expanded,70135,328
70,340,31.8019409,34.6640555,addr_raw,70134,315
70,350,31.8019409,34.6640555,addr_raw,70134,273
70,360,31.8125649,34.6459036,addr_raw,70111,290
70,370,31.8019409,34.6640555,addr_raw,70134,240
70,380,31.8087015,34.6445769,addr_raw,70111,265
70,390,31.8086981,34.6540381,addr_raw,70123,255
70,400,31.8040271,34.6458353,addr_raw,70113,218
70,410,31.8086981,34.6540381,addr_raw,70123,287
70,420,31.8040271,34.6458353,addr_raw,70113,215
70,430,31.8086981,34.6540381,addr_raw,70123,234
70,440,31.8019409,34.6640555,addr_raw,70134,541
70,450,31.8034685,34.6408315,addr_raw,70244,342
70,460,31.7959006,34.6416486,addr_raw,70242,302
70,470,31.7930432,34.6590841,addr_raw,70222,321
70,480,31.7930432,34.6590841,impute,70222,265
70,490,31.7962168,34.6542432,impute,70223,350
70,500,31.7962168,34.6542432,addr_raw,70223,269
70,510,31.7930432,34.6590841,addr_raw,70222,407
70,520,31.7930432,34.6590841,addr_raw,70222,263
70,530,31.7962468,34.6498363,addr_raw,70231,434
70,540,31.7950076,34.6462743,addr_raw,70232,302
70,550,31.7962468,34.6498363,addr_raw,70231,330
70,560,31.7950076,34.6462743,addr_raw,70232,388
70,570,31.7950076,34.6462743,addr_raw,70232,352
70,580,31.7976767,34.6628657,addr_raw,70136,377
70,590,31.7976767,34.6628657,addr_raw,70136,431
70,600,31.8029048,34.6603894,addr_expanded,70135,442
70,610,31.8042864,34.6504874,addr_raw,70121,302
70,620,31.7976767,34.6628657,addr_raw,70136,531
70,630,31.7976767,34.6628657,addr_raw,70136,315
70,640,31.7962468,34.6498363,addr_raw,70231,253
70,650,31.7962468,34.6498363,addr_raw,70231,270
70,660,31.7975184,34.6455291,addr_raw,70232,336
70,670,31.8000542,34.648899,addr_raw,70233,328
70,680,31.7979912,34.6416305,addr_raw,70243,348
70,690,31.8019409,34.6640555,addr_raw,70134,346
70,700,31.7962168,34.6542432,addr_raw,70223,214
70,710,31.7962168,34.6542432,impute,70223,227
70,720,31.7940108,34.6567111,addr_raw,70223,259
70,730,31.7940108,34.6567111,impute,70223,178
70,740,31.7940108,34.6567111,addr_raw,70223,255
70,750,31.7959019,34.6561088,addr_raw,70223,280
70,760,31.8000542,34.648899,addr_raw,70233,362
70,770,31.8000542,34.648899,addr_raw,70233,294
70,790,31.7975184,34.6455291,addr_raw,70232,340
70,800,31.7975184,34.6455291,addr_raw,70232,176
70,810,31.7975184,34.6455291,addr_raw,70232,360
70,820,31.8009438,34.6447934,addr_raw,70241,264
70,830,31.8009438,34.6447934,addr_raw,70241,368
70,840,31.7978977,34.6430433,addr_raw,70242,400
70,850,31.7978977,34.6430433,addr_raw,70242,397
70,860,31.7978977,34.6430433,addr_raw,70242,300
70,870,31.7969027,34.6392846,addr_raw,70243,299
70,880,31.7959006,34.6416486,addr_raw,70242,329
70,890,31.7743069,34.6327585,addr_raw,70335,423
70,900,31.8034685,34.6408315,addr_raw,70244,272
70,910,31.7979912,34.6416305,addr_raw,70243,311
70,920,31.8034685,34.6408315,addr_raw,70244,379
70,930,31.7959006,34.6416486,addr_raw,70242,366
70,940,31.7882108,34.6539711,addr_raw,70212,269
70,950,31.7882108,34.6539711,addr_raw,70212,266
70,960,31.7849107,34.6532131,addr_raw,70213,312
70,970,31.7882108,34.6539711,addr_raw,70212,319
70,980,31.7894358,34.6509183,addr_raw,70214,471
70,990,31.7849295,34.6519234,addr_raw,70213,330
70,1000,31.8034685,34.6408315,addr_raw,70244,360
70,1010,31.7849107,34.6532131,addr_raw,70213,378
70,1020,31.7834507,34.6324979,addr_raw,70333,337
70,1030,31.7834507,34.6324979,addr_raw,70333,376
70,1040,31.7743069,34.6327585,addr_raw,70335,403
70,1050,31.7743069,34.6327585,addr_raw,70335,352
70,1060,31.7743069,34.6327585,addr_raw,70335,342
70,1070,31.7804857,34.6305062,addr_raw,70333,324
70,1080,31.7743069,34.6327585,addr_raw,70335,502
70,1090,31.7812903,34.6337332,addr_raw,70332,347
70,1100,31.7804857,34.6305062,addr_raw,70333,302
70,1110,31.8009438,34.6447934,addr_raw,70241,401
70,1120,31.8009438,34.6447934,addr_raw,70241,350
70,1130,31.7834507,34.6324979,addr_raw,70333,386
70,1140,31.7743069,34.6327585,addr_raw,70335,387
70,1150,31.7894358,34.6509183,addr_raw,70214,482
70,1160,31.7979912,34.6416305,addr_raw,70243,331
70,1170,31.7979912,34.6416305,addr_raw,70243,404
70,1180,31.7876174,34.6521473,addr_expanded,70214,378
70,1190,31.7812903,34.6337332,addr_raw,70332,296
70,1200,31.7743069,34.6327585,addr_raw,70335,435
70,1210,31.7719274,34.6294075,addr_expanded,70335,411
70,1220,31.7721612,34.6332497,addr_raw,70323,369
70,1230,31.7719274,34.6294075,addr_expanded,70335,460
70,1240,31.7835191,34.6602701,addr_raw,70211,394
70,1250,31.7839118,34.6619389,addr_raw,70211,332
70,1260,31.7835191,34.6602701,addr_raw,70211,436
70,1270,31.7839118,34.6619389,addr_raw,70211,427
70,1280,31.7839118,34.6619389,addr_raw,70211,309
70,1290,31.7839118,34.6619389,addr_raw,70211,469
70,1300,31.7839118,34.6619389,addr_raw,70211,319
70,1310,31.7798719,34.6479491,addr_raw,70322,453
70,1320,31.7798719,34.6479491,addr_raw,70322,452
70,1330,31.7798719,34.6479491,addr_raw,70322,357
70,1340,31.7813822,34.6476268,addr_raw,70322,349
70,1350,31.7813822,34.6476268,addr_raw,70322,347
70,1360,31.7777126,34.642004,addr_raw,70326,438
70,1370,31.7777126,34.642004,addr_raw,70326,352
70,1380,31.7766001,34.6470757,addr_raw,70325,349
70,1390,31.7790922,34.6441848,addr_raw,70325,343
70,1400,31.774209,34.641044,addr_raw,70326,396
70,1410,31.7908887,34.6605642,addr_street,70137,581
70,1420,31.774209,34.641044,addr_raw,70326,313
70,1430,31.7777126,34.642004,addr_raw,70326,398
70,1440,31.7777126,34.642004,addr_raw,70326,430
70,1450,31.7766001,34.6470757,addr_raw,70325,403
70,1460,31.7790922,34.6441848,addr_raw,70325,263
70,1470,31.7766001,34.6470757,addr_raw,70325,421
70,1480,31.774209,34.641044,addr_raw,70326,435
70,1490,31.7790922,34.6441848,addr_raw,70325,446
70,1500,31.7790922,34.6441848,addr_raw,70325,403
70,1510,31.7798719,34.6479491,addr_raw,70322,308
70,1520,31.7782639,34.6495797,addr_raw,70322,380
70,1530,31.7813822,34.6476268,addr_raw,70322,302
70,1540,31.7815489,34.6523845,addr_raw,70321,393
70,1550,31.7782639,34.6495797,addr_raw,70322,476
70,1560,31.7813822,34.6476268,addr_raw,70322,275
70,1570,31.7766001,34.6470757,addr_raw,70325,376
70,1580,31.7815489,34.6523845,addr_raw,70321,382
70,1590,31.7876174,34.6521473,addr_expanded,70214,287
70,1600,31.7849107,34.6532131,addr_raw,70213,302
70,1610,31.7849295,34.6519234,addr_raw,70213,287
70,1620,31.7894358,34.6509183,addr_raw,70214,701
70,1630,31.7901332,34.6468172,addr_raw,70313,386
70,1640,31.79227,34.6443124,addr_raw,70313,349
70,1650,31.79227,34.6443124,impute,70313,314
70,1660,31.7896836,34.6462423,addr_raw,70313,466
70,1670,31.7896836,34.6462423,impute,70313,425
70,1680,31.79227,34.6443124,addr_raw,70313,321
70,1690,31.7896836,34.6462423,addr_raw,70313,395
70,1700,31.7812903,34.6337332,addr_raw,70332,303
70,1710,31.7896836,34.6462423,addr_raw,70313,347
70,1720,31.7743069,34.6327585,addr_raw,70335,415
70,1730,31.7743069,34.6327585,addr_raw,70335,362
70,1740,31.7834507,34.6324979,addr_raw,70333,334
70,1750,31.7743069,34.6327585,addr_raw,70335,313
70,1760,31.7743069,34.6327585,impute,70335,471
70,1770,31.7950076,34.6462743,addr_raw,70232,290
70,1780,31.7804857,34.6305062,addr_raw,70333,335
70,1790,31.7812903,34.6337332,addr_raw,70332,358
70,1800,31.7908887,34.6605642,addr_street,70137,511
70,1810,31.7908887,34.6605642,addr_street,70137,547
70,1820,31.7908887,34.6605642,addr_street,70137,485
70,1830,31.789185,34.663259,addr_raw,70137,677
70,1840,31.789185,34.663259,addr_raw,70137,545
70,1850,31.789185,34.663259,addr_raw,70137,697
70,1860,31.789185,34.663259,addr_raw,70137,606
70,1870,31.789185,34.663259,addr_raw,70137,486
70,1890,31.7839118,34.6619389,addr_raw,70211,368
70,1900,31.7835191,34.6602701,addr_raw,70211,326
70,1910,31.7839118,34.6619389,addr_raw,70211,403
70,1920,31.7839118,34.6619389,addr_raw,70211,415
70,1930,31.7835191,34.6602701,addr_raw,70211,324
70,1940,31.7839118,34.6619389,addr_raw,70211,388
70,1960,31.7849295,34.6519234,addr_raw,70213,321
70,1970,31.7882108,34.6539711,addr_raw,70212,276
70,1980,31.7721612,34.6332497,addr_raw,70323,270
70,1990,31.7719274,34.6294075,addr_expanded,70335,300
70,2000,31.7719274,34.6294075,addr_expanded,70335,400
70,2010,31.7719274,34.6294075,addr_expanded,70335,374
70,2020,31.7721612,34.6332497,addr_raw,70323,328
70,2030,31.7721612,34.6332497,addr_raw,70323,360
70,2040,31.7721612,34.6332497,addr_raw,70323,353
70,2050,31.8009438,34.6447934,addr_raw,70241,436
70,2060,31.7974812,34.6512344,addr_raw,70231,265
70,2070,31.7969027,34.6392846,addr_raw,70243,268
70,2080,31.8125649,34.6459036,addr_raw,70111,393
70,2090,31.7974812,34.6512344,addr_raw,70231,353
70,2100,31.8019409,34.6640555,addr_raw,70134,238
70,2110,31.8029048,34.6603894,addr_expanded,70135,463
70,2120,31.8019409,34.6640555,addr_raw,70134,591
70,2130,31.7976767,34.6628657,addr_raw,70136,352
70,2140,31.8125649,34.6459036,addr_raw,70111,282
70,2150,31.8087015,34.6445769,addr_raw,70111,268
70,2160,31.778308,34.634934,addr_street,70331,249
70,2170,31.778308,34.634934,addr_street,70331,360
70,2180,31.782087,34.6403985,addr_raw,70331,408
70,2190,31.782087,34.6403985,addr_raw,70331,514
70,2200,31.782087,34.6403985,addr_raw,70331,422
70,2210,31.782087,34.6403985,addr_raw,70331,394
70,2220,31.778308,34.634934,addr_street,70331,252
70,2230,31.7979912,34.6416305,addr_raw,70243,271
70,2240,31.778308,34.634934,addr_street,70331,417
70,2250,31.778308,34.634934,addr_street,70331,389
70,2260,31.778308,34.634934,addr_street,70331,358
70,2270,31.7901332,34.6468172,addr_raw,70313,387
70,2280,31.7901332,34.6468172,impute,70313,415
70,2290,31.7901332,34.6468172,impute,70313,402
70,2300,31.7901332,34.6468172,addr_raw,70313,289
70,2310,31.79227,34.6443124,addr_raw,70313,397
70,2320,31.7896836,34.6462423,addr_raw,70313,362
70,2330,31.7901332,34.6468172,addr_raw,70313,249
70,2340,31.79227,34.6443124,addr_raw,70313,303
70,2350,31.7962468,34.6498363,addr_raw,70231,271
70,2360,31.7975184,34.6455291,addr_raw,70232,337
70,2400,31.7721612,34.6332497,addr_raw,70323,353
70,2410,31.7721612,34.6332497,addr_raw,70323,394
70,2420,31.7721612,34.6332497,addr_raw,70323,355
70,2450,31.778308,34.634934,addr_street,70331,282
70,2500,31.8040271,34.6458353,addr_raw,70113,209
70,2520,31.7962468,34.6498363,addr_raw,70231,333
