stat22,eligible,voted,invalid,valid,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת,n_ballots,turnout,אמת_pct,אצ_pct,ב_pct,ג_pct,ד_pct,ום_pct,ז_pct,זך_pct,זנ_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יץ_pct,יק_pct,כן_pct,ך_pct,ל_pct,מחל_pct,מרצ_pct,נז_pct,ני_pct,נף_pct,נץ_pct,נק_pct,נר_pct,עם_pct,פה_pct,ף_pct,צ_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קנ_pct,קץ_pct,רז_pct,שס_pct,ת_pct,LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,AcadmCert_pcnt,WrkY_pcnt,Empl_pcnt,SelfEmpl_pcnt,HrsWrkWk_avg,Wrk_15_17_pcnt,WrkOutLoc_pcnt,employeesAnnual_medWage,EmployeesWage_decile9Up,SelfEmployedAnnual_medWage,SelfEmployedWage_decile9Up,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt,demo_match,settlement_code,v20_support_pct,v20_dims_used,v702_support_pct,v702_dims_used,sd_index_pct,v20_score_10,v702_score_10,sd_index_10,religiosity_entropy,is_arab,v702_v6_pct,v20_v6_pct,imputed_dims_v6,sd_v6_pct,v20_v6_10,v702_v6_10,sd_v6_10,v20_cell_pct,v702_cell_pct,v20_v7_pct,v702_v7_pct,sd_v7_pct,v20_v7_10,v702_v7_10,sd_v7_10,v20_vote_pct,v702_vote_pct,v20_v10_pct,v702_v10_pct,sd_v10_pct,v20_v10_10,v702_v10_10,sd_v10_10,v20_demean_pp,v702_demean_pp,v20_v11_pct,v702_v11_pct,sd_v11_pct,v20_v11_10,v20_v11_pctrank,v702_v11_10,v702_v11_pctrank,sd_v11_10,sd_v11_pctrank
5502,164,121,0,121,0,0,13,0,0,0,0,0,0,0,73,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0.7378048780487805,0.0,0.0,0.1074380165289256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6033057851239669,0.0,0.0,0.0,0.0,0.0,0.0165289256198347,0.0,0.0,0.2396694214876033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082644628099173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024793388429752,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59.73,2,53.27,2,56.5,6.0,10.0,9.91,1.5400566699910896,False,79.05,52.57,4,61.838,1.53,3.7,1.92,,,52.57,79.05,61.838,1.0,4.5,1.88,58.57199044521209,76.0882442356121,55.57099522260605,77.56912211780605,63.27033963592604,1.0,3.77,1.72,-2.6554458358241084,-0.9890610743119248,49.91455416417589,78.06093892568808,59.76578883070516,1.0,1.4,3.35,70.7,1.5,8.4
5504,577,385,4,381,75,1,2,0,5,26,0,0,0,0,13,0,0,0,0,0,18,0,4,9,110,0,0,0,0,0,0,6,87,2,0,0,1,0,0,0,21,0,1,0,1,0.6672443674176777,0.1968503937007874,0.0026246719160104,0.0052493438320209,0.0,0.0131233595800524,0.0682414698162729,0.0,0.0,0.0,0.0,0.0341207349081364,0.0,0.0,0.0,0.0,0.0,0.0472440944881889,0.0,0.0104986876640419,0.0236220472440944,0.2887139107611549,0.0,0.0,0.0,0.0,0.0,0.0,0.0157480314960629,0.2283464566929134,0.0052493438320209,0.0,0.0,0.0026246719160104,0.0,0.0,0.0,0.0551181102362204,0.0,0.0026246719160104,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65.66,2,52.58,2,59.12,10.0,10.0,10.0,1.5400566699910896,False,79.6,70.02,4,73.37299999999999,7.12,3.92,6.04,,,70.02,79.6,73.37299999999999,9.63,4.76,7.78,68.16468573091407,80.08864880677964,69.09234286545703,79.84432440338982,72.85553640373351,9.71,5.26,8.12,8.726140159790301,3.9428913858141694,78.7461401597903,83.54289138581416,80.42500308889865,6.84,90.3,5.01,88.9,6.33,90.0
5552,704,465,9,456,4,0,0,0,199,127,0,0,0,0,2,0,0,0,0,0,65,0,0,2,7,0,0,0,0,0,0,44,5,0,0,0,0,0,0,1,0,0,0,0,1,0.6605113636363636,0.0087719298245614,0.0,0.0,0.0,0.4364035087719298,0.2785087719298245,0.0,0.0,0.0,0.0,0.0043859649122807,0.0,0.0,0.0,0.0,0.0,0.1425438596491228,0.0,0.0,0.0043859649122807,0.0153508771929824,0.0,0.0,0.0,0.0,0.0,0.0,0.0964912280701754,0.0109649122807017,0.0,0.0,0.0,0.0,0.0,0.0,0.0021929824561403,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51.96,2,46.32,2,49.14,1.0,1.0,1.0,1.5400566699910896,False,79.08,70.87,4,73.74350000000001,7.39,3.71,6.17,,,70.87,79.08,73.74350000000001,10.0,4.52,7.97,61.89100482362374,76.40058571726944,66.38050241181188,77.74029285863472,70.35642906819987,7.93,3.89,6.45,19.761838571127424,9.610959149787538,90.63183857112743,88.69095914978753,89.95253077365847,9.29,92.3,6.57,89.3,8.55,91.1
9970,2528,1697,6,1691,75,8,12,19,0,2,0,0,0,0,196,0,7,0,0,0,175,0,39,603,26,0,0,0,0,0,0,0,368,1,3,0,0,0,1,0,4,0,152,0,4,0.6712816455696202,0.0443524541691306,0.0047309284447072,0.0070963926670609,0.0112359550561797,0.0,0.0011827321111768,0.0,0.0,0.0,0.0,0.1159077468953282,0.0,0.0041395623891188,0.0,0.0,0.0,0.1034890597279716,0.0,0.0230632761679479,0.3565937315198108,0.0153755174452986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2176227084565345,0.0005913660555884,0.0017740981667652,0.0,0.0,0.0,0.0005913660555884,0.0,0.0023654642223536,0.0,0.0898876404494382,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61.27,2,50.8,2,56.035,8.15,7.65,9.02,1.5400566699910896,False,78.06,58.36,4,65.255,3.38,3.3,3.14,,,58.36,78.06,65.255,3.52,4.04,3.63,60.58844410423422,76.52448488233962,59.47422205211711,77.2922424411698,65.71052918828556,3.41,3.59,3.35,-0.6092521994055822,-0.5377908352215344,57.75074780059442,77.52220916477847,64.67075927805884,2.53,47.1,3.19,64.8,2.65,50.7
70001,530,376,1,375,11,0,7,1,0,0,0,0,0,0,38,0,1,0,0,0,62,0,5,144,4,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,1,0,55,0,1,0.7094339622641509,0.0293333333333333,0.0,0.0186666666666666,0.0026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1013333333333333,0.0,0.0026666666666666,0.0,0.0,0.0,0.1653333333333333,0.0,0.0133333333333333,0.384,0.0106666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026666666666666,0.0,0.1466666666666666,0.0,שחר,7.0,,,840.0,5.0,1817.4,1.0,יהודים,114.3,,11.1,34.0,56.1,9.9,783.4,32.0,31.0,33.0,26.8,81.6,85.9,14.1,5.8,3.7,51.9,12.3,26.3,7.7,1.8,ישראל,26.0,27.0,23.0,2.9,9.9,50.3,21.3,75.6,86.2,12.2,42.0,10.8,69.2,130600.0,25.6,60600.0,16.9,220.00000000000003,3.4,24.0,19.8,מסורתי,2.0,1.1,16.9,45.9,88.9,63.3,18.3,settlement,7,61.28,6,50.35,6,55.815,8.17,6.78,8.6,1.5400566699910896,False,80.42,65.6,0,70.787,5.7,4.25,5.12,64.23690052792018,77.92335749970843,64.9184502639601,79.17167874985421,69.90708023402304,6.96,4.56,6.01,60.62824599343052,76.39265416719321,63.48838217378357,78.24533722230055,68.65331644076451,6.04,4.21,5.31,-1.9732440906200979,-1.5613363122440445,62.94520617334,77.61034243761017,68.07800386583456,3.59,70.3,3.21,65.6,3.44,70.0
100001,336,268,0,268,0,0,3,9,0,0,0,0,0,0,37,0,0,0,0,0,5,0,0,108,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,103,0,1,0.7976190476190477,0.0,0.0,0.0111940298507462,0.0335820895522388,0.0,0.0,0.0,0.0,0.0,0.0,0.1380597014925373,0.0,0.0,0.0,0.0,0.0,0.0186567164179104,0.0,0.0,0.4029850746268656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074626865671641,0.0,0.0,0.0,0.0,0.0,0.003731343283582,0.0,0.0,0.0,0.3843283582089552,0.0,תירוש,10.0,,,490.00000000000006,6.0,1248.7,1.0,יהודים,145.9,,8.6,23.9,66.9,9.2,494.7,33.0,32.0,35.0,38.2,90.2,90.2,9.8,8.3,5.9,50.1,4.5,43.2,1.1,1.0,ישראל,24.0,25.0,22.0,2.8,7.6,35.2,10.9,65.5,78.5,13.9,38.2,36.5,72.9,90800.0,11.6,182400.0,33.8,160.0,2.7,15.5,31.2,דתי/ דתי מאוד,3.0,0.8,26.2,24.2,73.2,45.4,30.5,settlement,10,62.82,6,50.08,6,56.45,10.0,6.25,9.81,1.5400566699910896,False,81.59,71.46,0,75.0055,7.58,4.71,6.62,68.51669065504886,79.37828790269103,69.98834532752443,80.48414395134552,73.6618748458618,9.61,5.17,7.93,62.02556690081361,76.16545841310703,67.33408585195416,79.04458210526603,71.43275954061332,8.56,4.74,7.17,1.2469750291159791,-1.5375128382700818,71.2353203566404,78.94663111307544,73.93427912139266,5.3,88.9,3.62,78.2,4.81,88.4
110001,445,299,0,299,19,0,3,2,0,0,0,1,0,0,35,0,2,0,0,0,76,0,4,75,14,0,0,0,0,0,0,0,64,0,0,0,0,0,0,1,0,0,3,0,1,0.6719101123595506,0.0635451505016722,0.0,0.0100334448160535,0.0066889632107023,0.0,0.0,0.0,0.0033444816053511,0.0,0.0,0.1170568561872909,0.0,0.0066889632107023,0.0,0.0,0.0,0.2541806020066889,0.0,0.0133779264214046,0.2508361204013378,0.0468227424749163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2140468227424749,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511,0.0,0.0,0.0100334448160535,0.0,"ניר ח""ן",11.0,,,680.0,49.2,1692.9,1.0,יהודים,103.5,,7.8,33.3,55.0,11.7,817.8,34.0,32.0,35.0,18.6,74.8,82.2,17.8,10.3,8.8,47.6,12.7,16.2,19.5,3.9,ישראל,26.0,27.0,23.0,2.0,7.4,28.6,38.2,71.9,86.7,13.3,38.6,24.5,85.3,136100.0,27.0,87500.0,17.5,230.0,2.7,19.0,18.8,חילוני,1.0,1.5,15.7,48.2,76.6,53.6,30.6,settlement,11,60.6,6,50.81,6,55.705,7.21,7.67,8.4,1.5400566699910896,False,77.44,57.39,0,64.4075,3.07,3.06,2.84,60.73006783697799,75.6408727809669,59.060033918489,76.54043639048345,65.17817478368706,3.89,3.33,3.59,60.964073896740864,76.72307724719872,59.69471391123962,76.6013166760552,65.61202487892507,3.55,3.14,3.28,-2.825628067214788,-1.1578278125878267,56.23440585127421,75.38260857789562,62.9362768055917,2.21,34.6,2.54,38.0,2.24,33.6
130001,566,408,1,407,37,1,8,2,0,1,0,0,0,0,18,0,0,0,0,1,121,0,7,24,27,0,0,0,1,0,0,4,147,1,1,0,1,0,0,0,2,0,3,0,1,0.7208480565371025,0.0909090909090909,0.0024570024570024,0.0196560196560196,0.0049140049140049,0.0,0.0024570024570024,0.0,0.0,0.0,0.0,0.0442260442260442,0.0,0.0,0.0,0.0,0.0024570024570024,0.2972972972972973,0.0,0.0171990171990172,0.0589680589680589,0.0663390663390663,0.0,0.0,0.0,0.0024570024570024,0.0,0.0,0.0098280098280098,0.3611793611793611,0.0024570024570024,0.0024570024570024,0.0,0.0024570024570024,0.0,0.0,0.0,0.0049140049140049,0.0,0.0073710073710073,0.0,חצבה,13.0,,,1190.0,61.0,1862.1,1.0,יהודים,197.6,3.5,40.2,26.8,63.6,9.6,572.5,31.0,31.0,31.0,10.1,92.2,89.5,10.5,33.5,17.1,61.9,6.4,9.3,18.3,4.1,ישראל,27.0,27.0,26.0,2.3,1.9,1.5,24.7,81.6,62.3,36.0,44.8,14.0,30.8,129000.0,19.2,140300.0,33.4,210.0,3.1,17.2,14.7,חילוני,1.0,1.9,11.1,60.7,95.5,63.5,26.9,settlement,13,60.81,6,50.81,6,55.81,7.51,7.67,8.59,1.5400566699910896,False,78.31,60.54,0,66.7595,4.08,3.4,3.68,59.91336667965449,75.2167586901671,60.22668333982725,76.76337934508355,66.01452694166696,4.5,3.44,4.02,62.2376937304157,76.78527828989264,60.89702013669006,76.77067899335326,66.45280073652218,4.34,3.25,3.84,-3.194401210503946,-1.5052270846068176,57.0322821293233,75.25815226047673,63.411336675227005,2.38,41.4,2.5,36.9,2.35,38.7
150001,316,247,3,244,1,0,0,5,0,0,0,0,0,0,51,1,1,0,0,0,4,0,2,123,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,51,0,1,0.7816455696202531,0.0040983606557377,0.0,0.0,0.0204918032786885,0.0,0.0,0.0,0.0,0.0,0.0,0.2090163934426229,0.0040983606557377,0.0040983606557377,0.0,0.0,0.0,0.0163934426229508,0.0,0.0081967213114754,0.5040983606557377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204918032786885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2090163934426229,0.0,נועם,15.0,,,480.0,34.3,1255.2,1.0,יהודים,101.1,,2.3,35.0,54.7,10.3,829.4,30.0,30.0,29.0,39.9,81.2,87.6,12.4,8.5,6.8,54.5,2.0,37.7,5.5,0.4,ישראל,25.0,25.0,22.0,2.7,9.1,19.7,9.6,70.9,84.7,15.3,36.2,24.6,83.9,101800.0,11.9,105800.0,7.0,140.0,3.4,27.2,25.9,מסורתי,2.0,0.7,8.2,39.3,82.0,29.5,40.3,settlement,15,62.06,6,50.11,6,56.085,9.26,6.31,9.12,1.5400566699910896,False,82.46,71.34,0,75.232,7.54,5.06,6.7,67.25672727270924,78.83560154439152,69.29836363635462,80.64780077219575,73.27066663389903,9.25,5.25,7.73,60.27969736150384,76.36484121401818,66.2921415447377,79.22014758613658,70.8169436592273,7.88,4.85,6.76,-0.6747472884161617,-1.0094431458134014,68.62361634793847,79.63835762638234,72.47877579539383,4.76,85.8,3.83,83.7,4.47,86.1
160001,488,366,1,365,46,0,0,0,0,3,0,0,0,0,4,0,2,0,0,0,36,0,7,13,98,0,0,0,0,0,0,2,150,0,0,0,0,0,0,0,3,0,1,0,1,0.75,0.1260273972602739,0.0,0.0,0.0,0.0,0.0082191780821917,0.0,0.0,0.0,0.0,0.010958904109589,0.0,0.0054794520547945,0.0,0.0,0.0,0.0986301369863013,0.0,0.0191780821917808,0.0356164383561643,0.2684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0054794520547945,0.410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082191780821917,0.0,0.0027397260273972,0.0,בית ניר,16.0,,,650.0,134.1,2400.3,1.0,יהודים,85.7,,0.5,38.7,49.6,11.6,1015.0,33.0,34.0,33.0,23.6,76.5,90.1,9.9,13.0,5.8,62.0,4.6,6.2,22.6,4.5,ישראל,27.0,28.0,26.0,1.9,6.3,30.0,40.1,73.4,82.4,11.5,41.3,28.6,66.4,168900.0,36.900000000000006,204600.0,53.7,210.0,3.1,18.9,20.9,חילוני,1.0,2.0,14.8,52.9,75.5,72.7,21.1,settlement,16,60.83,6,51.37,6,56.1,7.54,8.75,9.15,1.5400566699910896,False,76.13,62.63,0,67.355,4.75,2.53,3.89,55.946558968512,71.96751102864506,59.288279484256,74.04875551432252,64.45444609477929,4.01,2.17,3.22,65.72991776771879,78.68429993073039,61.435492245410266,75.59393698645847,66.39094790477714,4.7,2.48,3.8,0.663515160975206,0.3279021769797193,59.95179464523121,74.37665769130224,65.00049671135608,2.98,59.0,2.23,27.4,2.72,52.8
