stat08,semel,sa,eligible,voted,valid,disq,n_ballots,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס
4720001,472,1,3476,1553,1503,50,6,26,0,1,1,591,0,79,1,0,5,1,0,2,155,8,21,25,2,0,3,0,551,1,0,0,1,3,2,1,7,3,0,1,12
4730002,473,2,7147,4203,4111,92,11,309,1,1,3,439,1,1592,5,0,5,2,0,0,292,158,295,61,0,2,2,2,789,0,0,0,4,2,3,6,3,2,1,2,129
6520001,652,1,1340,695,691,4,3,5,0,0,2,165,1,47,0,0,5,0,1,0,5,0,3,2,0,0,1,0,438,7,0,0,1,0,1,0,1,0,1,0,5
12750001,1275,1,170,133,133,0,1,22,0,0,0,0,7,0,0,0,0,0,0,0,68,7,15,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6790001,679,1,430,335,335,0,1,30,0,1,1,0,16,1,3,0,3,1,0,2,142,15,92,12,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,9
11150001,1115,1,314,205,204,1,1,70,0,3,4,0,0,0,0,1,3,0,0,0,4,14,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
8190001,819,1,533,405,403,2,1,95,0,5,0,0,3,2,2,5,1,0,0,0,171,25,58,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3
1750001,175,1,884,675,671,4,2,210,1,11,1,0,14,1,0,2,6,0,0,1,253,19,87,44,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,7,3
20520001,2052,1,374,263,261,2,1,22,0,9,0,0,0,0,0,0,33,0,0,0,21,39,116,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,17
10700001,1070,1,352,248,243,5,1,21,1,9,1,0,11,2,1,2,3,0,0,0,46,20,91,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,25
12200001,1220,1,140,110,110,0,1,21,0,2,0,0,9,6,0,1,4,0,0,0,28,2,11,21,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1
1820001,182,1,7508,5352,5319,33,13,998,1,124,38,0,50,16,31,12,73,0,0,3,2108,263,1096,263,0,1,0,0,2,6,0,0,1,3,5,1,26,1,0,24,173
10810001,1081,1,240,181,176,5,1,111,0,2,0,0,0,0,0,0,0,0,0,0,11,12,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20
7830001,783,1,447,296,294,2,1,46,0,1,0,0,8,2,0,2,4,0,0,0,55,36,109,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21
4000001,400,1,329,264,264,0,1,3,0,65,7,0,0,0,0,0,80,0,0,0,3,2,37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65
40110001,4011,1,283,203,201,2,1,2,0,41,0,0,3,0,0,0,83,0,0,0,2,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
37930001,3793,1,510,449,443,6,1,1,0,52,1,0,0,0,0,0,259,0,0,0,2,3,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69
