stat95,code,votes
7001,אמת,66
7001,ב,3
7001,ג,4
7001,ד,1
7001,זנ,1
7001,יש,19
7001,ל,2
7001,ם,20
7001,מחל,97
7001,מרצ,9
7001,נ,3
7001,נץ,2
7001,רק,1
7001,שס,26
10001,אמת,3
10001,ב,15
10001,ג,7
10001,ז,2
10001,ט,1
10001,יש,1
10001,ל,3
10001,ם,1
10001,מחל,75
10001,נץ,2
10001,עם,1
10001,צ,1
10001,רק,1
10001,שס,81
11001,אמת,31
11001,ב,9
11001,יש,14
11001,ל,8
11001,ם,4
11001,מחל,75
11001,מרצ,10
11001,נ,1
11001,פה,1
11001,קנ,3
11001,רק,2
11001,שס,3
13001,אמת,99
13001,ב,4
13001,יש,60
13001,ל,14
13001,ם,1
13001,מחל,48
13001,מרצ,33
13001,נץ,1
13001,קנ,7
13001,קץ,1
13001,רק,3
13001,שס,3
15001,אמת,1
15001,ב,20
15001,ג,8
15001,ד,1
15001,ז,1
15001,ל,5
15001,ם,8
15001,מחל,108
15001,נץ,1
15001,שס,70
16001,אמת,36
16001,ו,1
16001,ט,1
16001,יש,2
16001,מרצ,101
16001,נ,3
16001,קנ,12
18001,אמת,55
18001,ב,2
18001,יש,36
18001,ל,3
18001,ם,3
18001,מחל,69
18001,מרצ,22
18001,נץ,1
18001,צ,1
18001,קנ,1
18001,שס,7
23001,אמת,3
23001,יש,6
23001,ם,3
23001,מחל,44
23001,מרצ,3
23001,נץ,3
23001,קנ,3
23001,שס,2
24001,אמת,127
24001,ב,2
24001,ג,1
24001,יש,55
24001,ל,3
24001,ם,1
24001,מחל,27
24001,מרצ,66
24001,נ,1
24001,נץ,3
24001,קנ,1
24001,רק,2
24001,שס,1
26001,אמת,314
26001,ב,23
26001,ג,13
26001,ו,7
26001,זנ,4
26001,יש,161
26001,כן,4
26001,ל,23
26001,ם,19
26001,מחל,286
26001,מרצ,187
26001,נ,6
26001,נץ,14
26001,עם,1
26001,קנ,60
26001,רק,13
26001,שס,36
26001,ק,1
27001,אמת,4
27001,ב,1
27001,ג,6
27001,זנ,2
27001,יש,2
27001,ל,2
27001,ם,1
