stat08,semel,sa,eligible,voted,valid,n_ballots,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
4720001,472,1,3889,1844,1765,6,118,7,644,0,2,0,99,0,0,1,9,0,2,81,63,0,2,4,0,547,1,19,3,0,0,3,3,7,31,4,4,4,1,106
4730002,473,2,6452,3929,3879,10,164,3,328,1,4,0,1396,3,0,3,9,1,136,197,28,3,0,2,1,973,2,43,2,2,0,2,2,7,236,2,12,7,4,306
4730001,473,1,1434,803,788,2,57,0,44,0,1,1,198,1,0,1,1,0,52,54,7,0,0,1,1,233,0,9,1,2,0,0,2,0,56,0,3,1,2,60
13420001,1342,1,135,59,54,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,22
6520001,652,1,1533,632,618,3,10,2,248,0,0,0,20,0,0,0,1,0,6,6,16,0,0,0,0,274,1,2,0,0,0,0,0,2,10,2,0,0,0,18
12750001,1275,1,190,147,146,1,53,0,0,0,0,0,3,8,0,0,5,0,3,15,16,0,0,0,0,0,0,25,0,0,0,0,0,2,14,0,0,2,0,0
6790001,679,1,493,400,400,1,70,1,0,0,0,0,1,20,0,1,13,0,9,84,38,0,0,1,0,0,0,106,1,1,0,0,0,4,35,0,0,9,5,1
11150001,1115,1,315,200,198,1,4,4,0,0,0,0,0,0,0,0,27,0,7,70,0,0,0,4,0,0,0,1,0,0,0,0,0,2,2,0,0,3,0,74
8190001,819,1,568,457,456,1,135,0,0,0,0,0,1,7,0,1,28,0,11,42,48,0,0,3,0,0,0,102,1,0,0,0,0,4,59,0,0,4,1,9
1750001,175,1,952,725,718,2,157,0,0,0,1,0,2,19,0,0,35,0,44,71,79,0,0,1,0,0,0,192,0,0,0,1,0,9,91,0,0,9,4,3
20520001,2052,1,376,262,261,1,19,1,0,0,0,0,0,0,0,0,54,0,10,97,1,0,0,37,0,0,0,15,2,0,0,0,0,1,3,0,1,4,0,16
10700001,1070,1,458,363,359,1,45,0,1,0,0,0,1,7,0,1,63,2,1,87,20,0,0,8,0,0,1,56,5,0,0,0,0,17,18,0,0,3,1,22
12200001,1220,1,162,127,126,1,27,2,0,0,0,0,6,4,0,0,5,0,1,9,32,0,0,3,0,0,0,16,0,0,0,0,0,0,13,0,0,5,0,3
1820001,182,1,8848,6798,6760,15,1259,40,1,0,2,0,14,100,0,9,421,2,152,1244,549,0,1,45,1,1,2,1987,55,2,0,3,0,95,535,1,3,76,12,148
10810001,1081,1,265,163,162,1,6,1,0,0,0,0,0,0,0,0,4,0,10,60,5,0,0,0,0,0,0,14,0,0,0,0,0,10,6,0,0,2,1,43
7830001,783,1,468,332,329,1,29,0,0,0,0,0,1,2,0,1,25,0,25,184,6,0,0,4,0,0,0,9,0,0,0,0,0,6,10,0,0,8,3,16
4000001,400,1,477,418,414,1,2,9,0,0,0,0,0,1,0,1,245,0,1,36,0,0,0,35,0,0,0,3,5,0,0,0,0,10,2,0,0,3,0,61
40110001,4011,1,354,272,272,1,4,2,0,0,0,0,0,0,0,0,154,0,1,31,0,0,0,42,0,0,0,4,10,0,0,0,0,10,1,0,1,1,1,10
37930001,3793,1,767,644,640,1,1,4,0,0,0,0,0,0,0,0,390,0,1,58,0,0,0,91,0,0,0,2,46,0,0,0,0,1,1,0,0,4,0,41
13110001,1311,1,170,112,110,1,7,1,0,1,0,0,0,0,0,0,4,5,0,64,2,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,4,2,3
37590001,3759,1,179,144,144,1,9,0,0,0,0,0,0,0,0,0,53,1,1,30,1,0,0,8,0,0,0,15,0,0,0,0,0,3,19,0,0,1,0,3
1130001,113,1,188,155,155,1,0,4,0,0,0,0,0,1,0,0,24,0,2,39,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,2,0,70
10680001,1068,1,271,116,115,1,22,0,0,0,0,1,1,4,0,0,2,0,0,18,35,0,0,0,0,2,0,10,0,0,0,0,0,1,4,0,0,10,1,4
11230001,1123,1,435,322,321,1,15,0,0,0,0,0,1,0,0,0,77,0,3,129,8,0,0,2,0,0,0,7,1,0,0,0,0,17,5,0,0,5,2,49
4460001,446,1,685,555,554,1,104,0,0,0,0,0,3,19,0,1,25,0,21,63,66,0,0,2,0,0,0,186,0,0,0,0,0,7,45,0,0,8,2,2
