stat08,semel,sa,eligible,voted,valid,n_ballots,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
4720001,472,1,4178,2539,2506,6,143,4,2114,0,3,0,10,1,0,0,2,21,5,58,41,0,0,1,41,14,0,4,2,5,2,35
4730001,473,1,8363,5798,5746,12,299,3,3802,0,0,0,10,1,0,0,6,158,799,255,66,3,1,2,47,41,1,5,11,21,2,213
13420001,1342,1,154,65,64,1,4,0,50,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,2
6520001,652,1,1632,807,792,3,50,0,700,0,0,0,0,1,0,0,1,7,0,7,7,0,0,0,11,3,0,0,0,0,0,5
12750001,1275,1,229,188,187,1,89,0,2,0,0,0,10,0,0,0,0,16,1,23,25,0,0,0,0,16,0,0,5,0,0,0
6790001,679,1,505,414,413,1,153,1,0,0,0,0,10,0,0,0,0,53,3,88,41,0,0,0,0,58,0,0,5,1,0,0
11150001,1115,1,336,230,228,1,6,4,0,0,0,0,13,0,0,0,0,18,2,140,0,0,0,0,0,1,0,0,3,1,0,40
8190001,819,1,569,475,475,1,254,0,0,0,0,0,19,0,0,0,0,28,3,45,34,0,0,0,0,80,0,0,5,0,0,7
1750001,175,1,949,735,732,2,380,1,1,0,0,1,24,0,0,0,0,36,2,77,71,0,0,0,0,128,0,0,5,1,2,3
20520001,2052,1,379,290,288,1,16,0,0,0,0,0,23,0,0,0,0,29,1,176,1,0,0,0,0,5,0,0,2,19,0,16
10700001,1070,1,495,406,406,1,81,4,3,0,0,0,46,0,0,0,0,28,13,130,25,0,0,0,0,52,0,0,2,10,1,11
12200001,1220,1,160,123,122,1,48,0,3,0,0,0,0,0,0,0,0,6,1,9,34,0,0,0,0,12,0,0,4,1,0,4
1820001,182,1,9206,7285,7249,15,2739,37,9,0,1,3,304,0,0,0,0,629,66,1376,482,3,1,1,2,1340,2,4,80,53,5,112
10810001,1081,1,266,199,198,1,28,2,0,0,0,0,6,0,0,0,0,12,3,92,0,0,0,0,0,19,0,0,4,1,0,31
7830001,783,1,504,379,379,1,71,1,0,0,0,0,15,0,0,0,0,47,14,172,15,1,0,0,0,17,0,0,10,2,1,13
4000001,400,1,586,522,519,1,7,6,0,0,0,0,232,0,0,0,0,15,0,116,1,1,0,0,0,2,0,0,2,118,0,19
40110001,4011,1,366,285,285,1,2,1,0,0,0,0,153,0,0,0,0,10,0,54,2,1,0,1,0,4,0,0,8,49,0,0
37930001,3793,1,854,735,733,2,2,0,0,0,0,0,389,0,0,0,0,14,4,147,1,0,0,0,0,0,0,1,2,141,0,32
13110001,1311,1,205,142,138,1,20,2,0,1,0,0,6,0,0,0,0,16,44,29,2,0,0,0,0,9,0,0,8,0,1,0
37590001,3759,1,220,176,176,1,24,0,0,0,0,0,57,0,0,0,0,19,3,39,1,0,0,0,0,10,0,0,4,18,0,1
1130001,113,1,209,163,160,1,2,4,0,0,0,0,22,0,0,0,0,7,1,56,0,0,0,0,0,4,0,0,1,4,0,59
10680001,1068,1,292,160,160,1,42,0,12,0,0,0,2,0,0,0,0,13,8,11,45,0,0,0,1,10,1,0,13,0,2,0
11230001,1123,1,498,383,381,1,12,1,1,0,0,0,78,0,0,0,0,21,10,193,9,3,0,0,0,15,0,0,3,9,0,26
4460001,446,1,714,590,588,1,284,1,0,0,0,0,18,0,0,0,0,28,6,67,64,0,0,0,0,106,0,1,8,1,0,4
40100001,4010,1,102,80,80,1,29,0,0,0,0,0,8,0,0,0,0,8,1,8,5,0,0,0,0,16,0,0,5,0,0,0
10460001,1046,1,243,187,186,1,61,0,2,0,0,0,10,0,0,0,0,13,3,59,6,0,0,0,0,21,0,0,2,4,0,5
27100013,2710,13,4382,2705,2692,8,7,3,2623,0,0,0,0,1,0,0,0,1,0,2,46,1,0,1,4,0,0,1,1,0,1,0
27100012,2710,12,5131,3336,3312,9,11,5,3232,0,0,0,2,0,1,0,1,5,1,5,34,0,0,1,11,1,0,0,0,1,0,1
